STATE_ABBREV,COUNTY_NAME,Dem_Percent,Rep_Percent,Dem_VoteCnt,Rep_VoteCnt
AR,Cross,0.251,0.727,1642,4753
AR,Dallas,0.343,0.638,798,1482
AR,Desha,0.467,0.515,1638,1805
AR,Drew,0.322,0.66,2050,4203
AR,Faulkner,0.326,0.649,17752,35357
AR,Franklin,0.177,0.801,1232,5582
AR,Fulton,0.18,0.801,906,4040
AR,Garland,0.307,0.67,13015,28359
AR,Grant,0.148,0.836,1192,6755
AR,Greene,0.185,0.798,2935,12617
AR,Hempstead,0.292,0.689,1776,4193
AR,Hot Spring,0.229,0.751,2818,9226
AR,Howard,0.259,0.726,1158,3246
AR,Independence,0.192,0.787,2689,11023
AR,Izard,0.16,0.819,949,4854
AR,Jackson,0.248,0.735,1183,3509
AR,Jefferson,0.592,0.392,12802,8468
AR,Johnson,0.233,0.747,2107,6766
AR,Lafayette,0.3,0.683,698,1589
AR,Lawrence,0.169,0.81,965,4608
AR,Lee,0.504,0.469,1270,1181
AR,Lincoln,0.241,0.742,813,2502
AR,Little River,0.221,0.764,1084,3744
AR,Logan,0.178,0.8,1464,6567
AR,Lonoke,0.222,0.758,6790,23225
AR,Madison,0.199,0.785,1491,5885
AR,Marion,0.191,0.794,1501,6230
AR,Miller,0.238,0.749,3769,11842
AR,Mississippi,0.333,0.65,3574,6963
AR,Monroe,0.412,0.569,1002,1385
AR,Montgomery,0.174,0.806,645,2987
AR,Nevada,0.292,0.689,849,2002
AR,Newton,0.171,0.812,644,3063
AR,Ouachita,0.396,0.586,3412,5056
AR,Perry,0.201,0.776,923,3559
AR,Phillips,0.558,0.425,2754,2098
AR,Pike,0.128,0.86,560,3746
AR,Poinsett,0.174,0.81,1235,5731
AR,Polk,0.138,0.843,1145,6987
AR,Pope,0.227,0.749,5487,18118
AR,Prairie,0.164,0.821,524,2628
AR,Pulaski,0.598,0.377,92038,57977
AR,Randolph,0.171,0.809,1138,5367
AR,Saline,0.288,0.69,16609,39736
AR,Scott,0.126,0.861,425,2913
AR,Searcy,0.132,0.854,511,3305
AR,Sebastian,0.3,0.676,13652,30719
AR,Sevier,0.183,0.8,862,3772
AR,Sharp,0.177,0.804,1316,5978
AR,St. Francis,0.494,0.486,2953,2909
AR,Stone,0.181,0.797,1089,4808
AR,Union,0.325,0.66,5019,10196
AR,Van Buren,0.189,0.79,1437,6023
AR,Washington,0.451,0.517,43779,50243
AR,White,0.183,0.795,5641,24514
AR,Woodruff,0.328,0.653,760,1513
AR,Yell,0.187,0.795,1213,5147
CA,Alameda,0.746,0.21,499551,140789
CA,Alpine,0.649,0.329,479,243
CA,Amador,0.347,0.626,7783,14018
CA,Butte,0.468,0.499,44228,47179
CA,Calaveras,0.347,0.628,9181,16625
CA,Colusa,0.346,0.629,2431,4414
CA,Contra Costa,0.673,0.294,356008,155308
CA,Del Norte,0.404,0.568,4266,5999
CA,El Dorado,0.426,0.546,47703,61109
CA,Fresno,0.465,0.509,151628,165924
CA,Glenn,0.312,0.661,3260,6904
CA,Humboldt,0.62,0.336,39800,21559
CA,Imperial,0.483,0.491,26083,26546
CA,Inyo,0.469,0.499,4201,4468
CA,Kern,0.382,0.593,108241,167879
CA,Kings,0.374,0.604,15519,25074
CA,Lake,0.478,0.492,12794,13161
CA,Lassen,0.218,0.758,2478,8619
CA,Los Angeles,0.648,0.319,2417109,1189862
CA,Madera,0.384,0.592,20981,32344
CA,Marin,0.806,0.167,116152,24054
CA,Mariposa,0.381,0.592,3622,5625
CA,Mendocino,0.613,0.345,24049,13528
CA,Merced,0.465,0.509,40190,43955
CA,Modoc,0.251,0.718,1008,2884
CA,Mono,0.581,0.378,3522,2294
CA,Monterey,0.634,0.335,93060,49226
CA,Napa,0.659,0.311,43212,20357
CA,Nevada,0.544,0.421,33784,26177
CA,Orange,0.497,0.471,691731,654815
CA,Placer,0.443,0.528,103958,123941
CA,Plumas,0.399,0.569,4020,5725
CA,Riverside,0.48,0.493,451782,463677
CA,Sacramento,0.581,0.384,381564,252140
CA,San Benito,0.549,0.423,15179,11702
CA,San Bernardino,0.475,0.497,362114,378416
CA,San Diego,0.569,0.401,841372,593270
CA,San Francisco,0.803,0.155,323719,62594
CA,San Joaquin,0.48,0.489,126647,128996
CA,San Luis Obispo,0.539,0.431,81314,64932
CA,San Mateo,0.735,0.232,242957,76616
CA,Santa Barbara,0.618,0.351,114149,64870
CA,Santa Clara,0.68,0.281,510744,210924
CA,Santa Cruz,0.753,0.209,100998,27978
CA,Shasta,0.305,0.67,27130,59539
CA,Sierra,0.365,0.607,641,1066
