STATE_ABBREV,COUNTY_NAME,Dem_Percent,Rep_Percent,Dem_VoteCnt,Rep_VoteCnt
GA,Emanuel,0.278,0.719,2673,6919
GA,Evans,0.286,0.709,1214,3011
GA,Fannin,0.174,0.822,2807,13232
GA,Fayette,0.48,0.512,35822,38177
GA,Floyd,0.287,0.707,12862,31631
GA,Forsyth,0.329,0.66,45509,91281
GA,Franklin,0.136,0.861,1647,10459
GA,Fulton,0.719,0.27,384752,144655
GA,Gilmer,0.185,0.81,3413,14976
GA,Glascock,0.08,0.918,133,1534
GA,Glynn,0.368,0.627,16144,27558
GA,Gordon,0.18,0.815,4982,22495
GA,Grady,0.307,0.689,3290,7385
GA,Greene,0.353,0.642,4514,8215
GA,Gwinnett,0.576,0.411,242507,173041
GA,Habersham,0.173,0.822,4036,19142
GA,Hall,0.278,0.716,28347,72991
GA,Hancock,0.675,0.322,2864,1364
GA,Haralson,0.126,0.87,2065,14239
GA,Harris,0.267,0.728,5976,16283
GA,Hart,0.224,0.772,3210,11064
GA,Heard,0.138,0.859,859,5335
GA,Henry,0.645,0.349,83253,44982
GA,Houston,0.441,0.553,35907,45090
GA,Irwin,0.227,0.769,986,3340
GA,Jackson,0.222,0.773,10472,36497
GA,Jasper,0.206,0.79,1881,7203
GA,Jeff Davis,0.157,0.84,924,4935
GA,Jefferson,0.492,0.504,3674,3765
GA,Jenkins,0.346,0.65,1179,2217
GA,Johnson,0.268,0.731,1066,2913
GA,Jones,0.308,0.688,4959,11079
GA,Lamar,0.268,0.728,2795,7575
GA,Lanier,0.266,0.73,995,2726
GA,Laurens,0.335,0.662,7820,15460
GA,Lee,0.28,0.716,4957,12655
GA,Liberty,0.584,0.41,13459,9441
GA,Lincoln,0.274,0.722,1351,3559
GA,Long,0.351,0.646,2476,4557
GA,Lowndes,0.408,0.587,19487,28081
GA,Lumpkin,0.188,0.805,3356,14339
GA,Macon,0.588,0.409,2755,1916
GA,Madison,0.224,0.771,3753,12951
GA,Marion,0.346,0.648,1253,2348
GA,McDuffie,0.373,0.623,3937,6562
GA,McIntosh,0.355,0.641,2628,4747
GA,Meriwether,0.371,0.626,4373,7375
GA,Miller,0.246,0.751,670,2045
GA,Mitchell,0.417,0.58,3701,5150
GA,Monroe,0.265,0.732,4689,12954
GA,Montgomery,0.233,0.763,927,3033
GA,Morgan,0.268,0.727,3533,9589
GA,Murray,0.141,0.857,2459,14965
GA,Muscogee,0.614,0.38,49413,30616
GA,Newton,0.573,0.422,33839,24893
GA,Oconee,0.316,0.675,8620,18424
GA,Oglethorpe,0.285,0.709,2515,6255
GA,Paulding,0.376,0.617,35802,58769
GA,Peach,0.468,0.528,6293,7104
GA,Pickens,0.168,0.826,3522,17281
GA,Pierce,0.112,0.887,1089,8655
GA,Pike,0.131,0.866,1648,10864
GA,Polk,0.196,0.801,3749,15352
GA,Pulaski,0.295,0.7,1281,3036
GA,Putnam,0.287,0.709,3696,9136
GA,Quitman,0.421,0.575,480,656
GA,Rabun,0.213,0.782,2222,8151
GA,Randolph,0.535,0.459,1601,1373
GA,Richmond,0.678,0.317,56657,26472
GA,Rockdale,0.734,0.259,33165,11711
GA,Schley,0.187,0.811,453,1970
GA,Screven,0.373,0.625,2581,4325
GA,Seminole,0.297,0.702,1191,2811
GA,Spalding,0.414,0.581,13679,19184
GA,Stephens,0.183,0.812,2404,10632
GA,Stewart,0.58,0.418,1177,847
GA,Sumter,0.509,0.487,6136,5869
GA,Talbot,0.559,0.439,1888,1483
GA,Taliaferro,0.574,0.424,507,375
GA,Tattnall,0.231,0.765,1967,6515
GA,Taylor,0.343,0.653,1366,2600
GA,Telfair,0.302,0.695,1274,2930
GA,Terrell,0.519,0.478,2253,2075
GA,Thomas,0.378,0.619,8347,13670
GA,Tift,0.32,0.677,5438,11496
GA,Toombs,0.245,0.752,2674,8208
GA,Towns,0.187,0.809,1649,7155
GA,Treutlen,0.277,0.721,864,2250
GA,Troup,0.376,0.619,11757,19392
GA,Turner,0.356,0.641,1365,2457
GA,Twiggs,0.425,0.572,1895,2549
GA,Union,0.185,0.81,3309,14477
GA,Upson,0.3,0.697,4098,9528
GA,Walker,0.201,0.793,6436,25462
GA,Walton,0.267,0.726,15605,42407
GA,Ware,0.283,0.714,4068,10279
GA,Warren,0.522,0.475,1354,1232
GA,Washington,0.489,0.508,4643,4824
GA,Wayne,0.2,0.797,2708,10811
GA,Webster,0.407,0.591,544,790
GA,Wheeler,0.273,0.724,622,1648
GA,White,0.155,0.84,2609,14136
GA,Whitfield,0.275,0.719,10953,28655
GA,Wilcox,0.253,0.745,847,2493
GA,Wilkes,0.414,0.583,2112,2971
GA,Wilkinson,0.41,0.588,2012,2888
GA,Worth,0.247,0.751,2300,6991
HI,Hawaii,0.63,0.347,52163,28748
HI,Honolulu,0.599,0.383,204301,130489
HI,Kauai,0.588,0.393,17675,11803
HI,Maui,0.619,0.36,38905,22621
ID,Ada,0.434,0.538,116116,143759
ID,Adams,0.215,0.76,577,2037
ID,Bannock,0.358,0.609,14306,24329
ID,Bear Lake,0.104,0.875,346,2908
ID,Benewah,0.182,0.796,935,4094
ID,Bingham,0.188,0.784,3878,16188
ID,Blaine,0.644,0.327,8424,4281
ID,Boise,0.217,0.759,1065,3727
ID,Bonner,0.257,0.719,7650,21352
ID,Bonneville,0.256,0.71,14458,40053
ID,Boundary,0.161,0.815,1145,5794
ID,Butte,0.124,0.849,185,1268
ID,Camas,0.21,0.751,153,547
ID,Canyon,0.254,0.72,25669,72755
ID,Caribou,0.129,0.841,445,2906
ID,Cassia,0.142,0.833,1359,7959
ID,Clark,0.15,0.841,50,280
ID,Clearwater,0.175,0.803,774,3550
ID,Custer,0.221,0.754,586,1998
ID,Elmore,0.245,0.73,2611,7791
ID,Franklin,0.098,0.874,703,6279
ID,Fremont,0.14,0.83,954,5645
ID,Gem,0.16,0.82,1699,8707
ID,Gooding,0.186,0.79,1100,4676
ID,Idaho County,0.148,0.826,1460,8148
ID,Jefferson,0.12,0.852,1891,13481
ID,Jerome,0.219,0.757,1742,6012
ID,Kootenai,0.229,0.748,22113,72059
ID,Latah,0.442,0.522,9039,10669
ID,Lemhi,0.213,0.762,1038,3716
ID,Lewis,0.165,0.815,305,1503
ID,Lincoln,0.204,0.765,392,1466
ID,Madison,0.159,0.802,2767,13925
ID,Minidoka,0.173,0.805,1373,6401
ID,Nez Perce,0.294,0.681,5928,13707
ID,Oneida,0.103,0.862,253,2119
ID,Owyhee,0.153,0.828,756,4101
ID,Payette,0.175,0.804,2064,9458
ID,Power,0.26,0.71,785,2146
ID,Shoshone,0.24,0.734,1472,4500
ID,Teton,0.517,0.449,3463,3005
ID,Twin Falls,0.242,0.73,9064,27304
ID,Valley,0.396,0.582,2869,4214
ID,Washington,0.182,0.797,1010,4429
IL,Adams,0.255,0.729,8111,23161
IL,Alexander,0.398,0.59,904,1341
IL,Bond,0.265,0.712,2117,5692
IL,Boone,0.419,0.564,10159,13673
IL,Brown,0.19,0.789,467,1938
IL,Bureau,0.369,0.612,5900,9784
IL,Calhoun,0.209,0.768,560,2059
IL,Carroll,0.332,0.648,2600,5082
IL,Cass,0.274,0.708,1438,3712
IL,Champaign,0.606,0.368,54314,32965
IL,Chicago,0.774,0.203,775699,203817
IL,Christian,0.259,0.725,4026,11278
IL,Clark,0.235,0.747,1927,6130
IL,Clay,0.156,0.829,1054,5610
IL,Clinton,0.231,0.749,4447,14407
IL,Coles,0.348,0.633,7495,13606
IL,Cook,0.696,0.281,1447821,583852
IL,Cook Suburbs,0.624,0.353,672122,380035
IL,Crawford,0.229,0.753,2048,6727
IL,Cumberland,0.184,0.802,1059,4627
IL,DeKalb,0.499,0.479,23648,22716
IL,DeWitt,0.265,0.713,2058,5529
IL,Douglas,0.261,0.722,2198,6076
IL,DuPage,0.55,0.418,251164,191243
IL,Edgar,0.229,0.753,1816,5955
IL,Edwards,0.139,0.849,457,2794
IL,Effingham,0.19,0.792,3617,15124
IL,Fayette,0.17,0.817,1632,7847
IL,Ford,0.251,0.729,1643,4778
IL,Franklin,0.241,0.746,4257,13200
IL,Fulton,0.37,0.609,5980,9827
IL,Gallatin,0.222,0.76,561,1923
IL,Greene,0.201,0.779,1220,4719
IL,Grundy,0.344,0.639,9143,16997
IL,Hamilton,0.177,0.809,739,3385
IL,Hancock,0.241,0.74,2183,6708
IL,Hardin,0.185,0.803,357,1546
IL,Henderson,0.296,0.684,1026,2369
IL,Henry,0.368,0.612,9226,15359
IL,Iroquois,0.206,0.779,2747,10376
IL,Jackson,0.507,0.472,11394,10614
IL,Jasper,0.168,0.82,912,4449
IL,Jefferson,0.254,0.732,4240,12189
IL,Jersey,0.241,0.743,2816,8684
IL,Jo Daviess,0.407,0.575,5051,7136
IL,Johnson,0.203,0.786,1241,4798
IL,Kane,0.537,0.444,120077,99260
IL,Kankakee,0.387,0.595,18399,28285
IL,Kendall,0.497,0.481,32977,31970
IL,Knox,0.443,0.537,9838,11917
IL,Lake,0.594,0.387,184642,120402
IL,LaSalle,0.4,0.585,21029,30717
IL,Lawrence,0.21,0.772,1283,4715
IL,Lee,0.379,0.601,6105,9680
IL,Livingston,0.26,0.723,4311,11970
IL,Logan,0.282,0.697,3543,8757
IL,Macon,0.397,0.586,18009,26562
IL,Macoupin,0.294,0.686,6892,16065
IL,Madison,0.423,0.555,56341,73925
IL,Marion,0.246,0.74,4116,12409
IL,Marshall,0.312,0.672,1913,4119
IL,Mason,0.278,0.7,1773,4464
IL,Massac,0.252,0.74,1683,4939
IL,McDonough,0.395,0.584,4736,6987
IL,McHenry,0.464,0.517,75370,83933
IL,McLean,0.514,0.466,44495,40290
IL,Menard,0.285,0.7,1834,4499
IL,Mercer,0.353,0.625,2950,5215
IL,Monroe,0.31,0.672,6473,14055
IL,Montgomery,0.271,0.71,3573,9378
IL,Morgan,0.33,0.655,4848,9607
IL,Moultrie,0.247,0.738,1615,4816
IL,Ogle,0.344,0.638,8883,16450
IL,Peoria,0.513,0.466,40564,36896
IL,Perry,0.232,0.751,2146,6949
IL,Piatt,0.337,0.642,3204,6104
IL,Pike,0.173,0.81,1302,6086
IL,Pope,0.195,0.796,416,1698
IL,Pulaski,0.323,0.665,769,1583
IL,Putnam,0.376,0.604,1254,2014
IL,Randolph,0.241,0.741,3461,10624
IL,Richland,0.225,0.759,1747,5889
IL,Rock Island,0.538,0.442,34126,28061
IL,Saline,0.248,0.738,2634,7830
IL,Sangamon,0.465,0.514,46074,50979
IL,Schuyler,0.256,0.723,961,2720
IL,Scott,0.189,0.8,488,2071
IL,Shelby,0.192,0.794,2240,9267
IL,St. Clair,0.529,0.45,63433,54021
IL,Stark,0.263,0.718,725,1983
IL,Stephenson,0.394,0.588,8278,12347
IL,Tazewell,0.358,0.624,24325,42451
IL,Union,0.278,0.71,2285,5837
IL,Vermilion,0.313,0.669,9254,19777
IL,Wabash,0.223,0.762,1200,4095
IL,Warren,0.364,0.615,2711,4579
IL,Washington,0.207,0.779,1564,5892
IL,Wayne,0.14,0.848,1155,7019
IL,White,0.197,0.79,1390,5586
IL,Whiteside,0.416,0.563,11012,14898
IL,Will,0.497,0.481,162874,157672
IL,Williamson,0.299,0.686,9890,22686
IL,Winnebago,0.494,0.488,59942,59257
IL,Woodford,0.282,0.702,5958,14837
IN,Adams,0.228,0.754,3179,10528
IN,Allen,0.429,0.553,69960,90283
IN,Bartholomew,0.353,0.626,12525,22220
IN,Benton,0.255,0.727,1010,2873
IN,Blackford,0.239,0.742,1227,3811
IN,Boone,0.41,0.569,16426,22840
IN,Brown,0.328,0.655,2832,5647
IN,Carroll,0.231,0.751,2120,6902
IN,Cass,0.262,0.724,3722,10285
IN,Clark,0.389,0.593,22810,34734
IN,Clay,0.207,0.776,2495,9354
IN,Clinton,0.252,0.732,3135,9108
IN,Crawford,0.246,0.732,1235,3668
IN,Daviess,0.171,0.814,1963,9322
IN,Dearborn,0.201,0.784,5335,20844
IN,Decatur,0.199,0.784,2406,9491
IN,DeKalb,0.256,0.726,5064,14377
IN,Delaware,0.412,0.569,18848,26067
IN,Dubois,0.277,0.699,5944,14983
IN,Elkhart,0.331,0.654,23082,45652
IN,Fayette,0.212,0.775,2084,7625
IN,Floyd,0.413,0.568,17025,23408
IN,Fountain,0.191,0.791,1526,6311
IN,Franklin,0.171,0.815,2061,9810
IN,Fulton,0.237,0.749,2097,6633
IN,Gibson,0.234,0.748,3722,11896
IN,Grant,0.281,0.699,7083,17580
IN,Greene,0.223,0.761,3270,11132
IN,Hamilton,0.459,0.52,90394,102318
IN,Hancock,0.322,0.659,14312,29288
IN,Harrison,0.256,0.725,5233,14830
IN,Hendricks,0.384,0.598,31917,49783
IN,Henry,0.253,0.73,5208,15033
IN,Howard,0.314,0.667,12197,25871
IN,Huntington,0.249,0.732,4416,12990
IN,Jackson,0.215,0.768,4015,14323
IN,Jasper,0.22,0.763,3489,12082
IN,Jay,0.216,0.767,1747,6217
IN,Jefferson,0.31,0.671,4442,9614
IN,Jennings,0.197,0.785,2328,9273
IN,Johnson,0.32,0.663,24880,51588
IN,Knox,0.24,0.744,3625,11236
IN,Kosciusko,0.229,0.751,7995,26213
IN,LaGrange,0.208,0.775,2162,8073
IN,Lake,0.521,0.464,109086,97270
IN,LaPorte,0.421,0.562,20007,26726
IN,Lawrence,0.236,0.746,5010,15830
IN,Madison,0.356,0.625,19824,34837
IN,Marion,0.629,0.352,221719,124327
IN,Marshall,0.274,0.707,5356,13837
IN,Martin,0.187,0.793,933,3961
IN,Miami,0.218,0.763,3046,10670
IN,Monroe,0.628,0.354,37213,21004
IN,Montgomery,0.249,0.731,4134,12122
IN,Morgan,0.22,0.763,7765,26965
IN,Newton,0.208,0.777,1370,5131
IN,Noble,0.235,0.749,4462,14209
IN,Ohio,0.215,0.77,666,2381
IN,Orange,0.231,0.752,1988,6467
IN,Owen,0.238,0.745,2354,7360
IN,Parke,0.206,0.775,1371,5158
IN,Perry,0.343,0.64,2970,5549
IN,Pike,0.219,0.767,1314,4610
IN,Porter,0.438,0.543,37213,46109
IN,Posey,0.275,0.709,3572,9206
IN,Pulaski,0.222,0.759,1280,4372
IN,Putnam,0.231,0.751,3871,12566
IN,Randolph,0.223,0.759,2349,8008
IN,Ripley,0.186,0.8,2682,11526
IN,Rush,0.219,0.759,1675,5812
IN,Scott,0.235,0.749,2389,7633
IN,Shelby,0.251,0.731,4955,14438
IN,Spencer,0.273,0.705,2853,7364
IN,St. Joseph,0.498,0.484,55215,53585
IN,Starke,0.232,0.753,2436,7889
IN,Steuben,0.281,0.702,4598,11487
IN,Sullivan,0.228,0.755,2006,6639
IN,Switzerland,0.205,0.779,873,3319
IN,Tippecanoe,0.488,0.49,32683,32783
IN,Tipton,0.237,0.745,1893,5946
IN,Union,0.214,0.772,746,2698
IN,Vanderburgh,0.43,0.556,31727,41056
IN,Vermillion,0.266,0.713,1928,5174
IN,Vigo,0.399,0.58,16338,23738
IN,Wabash,0.239,0.747,3335,10425
IN,Warren,0.205,0.778,898,3402
IN,Warrick,0.341,0.643,11292,21280
IN,Washington,0.217,0.765,2764,9739
IN,Wayne,0.329,0.653,8828,17526
IN,Wells,0.202,0.78,2850,11006
IN,White,0.264,0.714,2945,7969
IN,Whitley,0.241,0.739,4275,13122
IA,Adair,0.266,0.715,1086,2916
IA,Adams,0.27,0.711,576,1517
IA,Allamakee,0.321,0.664,2350,4857
IA,Appanoose,0.26,0.725,1686,4704
IA,Audubon,0.299,0.681,970,2214
IA,Benton,0.327,0.658,4739,9549
IA,Black Hawk,0.498,0.486,31299,30572
IA,Boone,0.383,0.597,5895,9199
IA,Bremer,0.381,0.602,5571,8799
IA,Buchanan,0.35,0.632,3766,6790
IA,Buena Vista,0.327,0.658,2462,4962
IA,Butler,0.266,0.719,2144,5784
IA,Calhoun,0.261,0.727,1328,3708
IA,Carroll,0.283,0.701,3153,7814
IA,Cass,0.288,0.694,2077,5007
IA,Cedar,0.383,0.6,4075,6390
IA,Cerro Gordo,0.432,0.549,9955,12627
IA,Cherokee,0.264,0.72,1611,4398
IA,Chickasaw,0.307,0.679,1919,4234
IA,Clarke,0.282,0.701,1265,3140
IA,Clay,0.277,0.708,2367,6047
IA,Clayton,0.321,0.665,3017,6255
IA,Clinton,0.397,0.585,9472,13964
IA,Crawford,0.277,0.711,1812,4651
IA,Dallas,0.467,0.514,29402,32374
IA,Davis,0.222,0.766,878,3027
IA,Decatur,0.256,0.725,957,2711
IA,Delaware,0.294,0.689,2978,6984
IA,Des Moines,0.416,0.566,7935,10794
IA,Dickinson,0.293,0.692,3297,7775
IA,Dubuque,0.449,0.535,23705,28224
IA,Emmet,0.274,0.713,1315,3422
IA,Fayette,0.338,0.642,3334,6325
IA,Floyd,0.364,0.62,2782,4744
IA,Franklin,0.284,0.7,1393,3431
IA,Fremont,0.27,0.714,1023,2711
IA,Greene,0.328,0.658,1603,3211
IA,Grundy,0.283,0.699,2019,4998
IA,Guthrie,0.302,0.68,1974,4446
IA,Hamilton,0.327,0.659,2482,5004
IA,Hancock,0.256,0.73,1523,4336
IA,Hardin,0.302,0.684,2553,5790
IA,Harrison,0.282,0.699,2245,5566
IA,Henry,0.312,0.671,2995,6439
IA,Howard,0.334,0.651,1619,3157
IA,Humboldt,0.243,0.742,1236,3770
IA,Ida,0.226,0.758,826,2771
IA,Iowa,0.353,0.63,3400,6068
IA,Jackson,0.33,0.655,3567,7074
IA,Jasper,0.354,0.629,7141,12701
IA,Jefferson,0.454,0.522,3788,4353
IA,Johnson,0.679,0.301,58846,26087
IA,Jones,0.359,0.621,3942,6820
IA,Keokuk,0.237,0.751,1219,3869
IA,Kossuth,0.272,0.713,2284,5983
IA,Lee,0.349,0.627,5659,10152
IA,Linn,0.54,0.441,66358,54237
IA,Louisa,0.288,0.697,1480,3584
IA,Lucas,0.252,0.732,1169,3400
IA,Lyon,0.146,0.842,1023,5899
IA,Madison,0.3,0.684,3008,6864
IA,Mahaska,0.235,0.75,2577,8207
IA,Marion,0.303,0.679,5928,13289
IA,Marshall,0.413,0.568,7134,9815
IA,Mills,0.298,0.687,2456,5671
IA,Mitchell,0.337,0.647,1943,3736
IA,Monona,0.267,0.718,1236,3331
IA,Monroe,0.241,0.747,1002,3104
IA,Montgomery,0.297,0.687,1508,3486
IA,Muscatine,0.416,0.565,8212,11152
IA,O'Brien,0.19,0.797,1428,5998
IA,Osceola,0.172,0.812,555,2623
IA,Page,0.281,0.704,2060,5153
IA,Palo Alto,0.269,0.718,1338,3576
IA,Plymouth,0.222,0.763,3104,10661
IA,Pocahontas,0.222,0.761,796,2727
IA,Polk,0.545,0.437,140075,112240
IA,Pottawattamie,0.392,0.591,17468,26335
IA,Poweshiek,0.406,0.575,4067,5758
IA,Ringgold,0.238,0.75,638,2015
IA,Sac,0.236,0.751,1289,4100
IA,Scott,0.471,0.51,42479,45976
IA,Shelby,0.278,0.707,1811,4600
IA,Sioux,0.138,0.845,2626,16053
IA,Story,0.54,0.437,26765,21665
IA,Tama,0.356,0.624,3070,5379
IA,Taylor,0.216,0.773,666,2381
IA,Union,0.312,0.672,1874,4044
IA,Van Buren,0.215,0.768,778,2785
IA,Wapello,0.336,0.65,4896,9479
IA,Warren,0.388,0.594,12712,19486
IA,Washington,0.371,0.614,4297,7119
IA,Wayne,0.206,0.776,643,2426
IA,Webster,0.337,0.648,5641,10850
IA,Winnebago,0.338,0.644,1909,3636
IA,Winneshiek,0.444,0.537,5321,6427
IA,Woodbury,0.376,0.605,16145,25969
IA,Worth,0.352,0.633,1508,2715
IA,Wright,0.309,0.673,1770,3853
KS,Allen,0.258,0.719,1445,4029
KS,Anderson,0.193,0.791,732,2998
KS,Atchison,0.303,0.677,2201,4911
KS,Barber,0.133,0.854,288,1854
KS,Barton,0.209,0.776,2207,8205
KS,Bourbon,0.22,0.761,1444,5003
KS,Brown,0.25,0.729,1065,3106
KS,Butler,0.284,0.696,9150,22426
KS,Chase,0.238,0.746,348,1090
KS,Chautauqua,0.138,0.851,211,1299
KS,Cherokee,0.226,0.755,1970,6584
KS,Cheyenne,0.145,0.833,206,1185
KS,Clark,0.127,0.855,129,867
KS,Clay,0.211,0.766,867,3150
KS,Cloud,0.19,0.795,767,3218
KS,Coffey,0.213,0.77,934,3371
KS,Comanche,0.149,0.832,130,727
KS,Cowley,0.29,0.693,3919,9360
KS,Crawford,0.365,0.617,5956,10084
KS,Decatur,0.148,0.838,215,1217
KS,Dickinson,0.218,0.767,1989,7014
KS,Doniphan,0.175,0.81,626,2899
KS,Douglas,0.682,0.302,39582,17523
KS,Edwards,0.168,0.821,213,1042
KS,Elk,0.143,0.839,191,1123
KS,Ellis,0.26,0.721,3511,9743
KS,Ellsworth,0.231,0.753,636,2078
KS,Finney,0.318,0.665,3425,7166
KS,Ford,0.299,0.683,2461,5616
KS,Franklin,0.289,0.69,3676,8773
KS,Geary,0.401,0.577,3674,5288
KS,Gove,0.107,0.879,150,1227
KS,Graham,0.163,0.82,210,1055
KS,Grant,0.178,0.808,395,1793
KS,Gray,0.148,0.838,324,1837
KS,Greeley,0.126,0.86,75,510
KS,Greenwood,0.188,0.797,541,2299
KS,Hamilton,0.161,0.823,131,671
KS,Harper,0.171,0.811,437,2072
KS,Harvey,0.386,0.596,6202,9591
KS,Haskell,0.173,0.818,221,1045
KS,Hodgeman,0.141,0.846,136,817
KS,Jackson,0.278,0.704,1799,4557
KS,Jefferson,0.305,0.674,3030,6694
KS,Jewell,0.112,0.87,176,1370
KS,Johnson,0.533,0.449,183451,154247
KS,Kearny,0.147,0.832,192,1082
KS,Kingman,0.191,0.79,753,3119
KS,Kiowa,0.136,0.85,151,941
KS,Labette,0.301,0.683,2385,5410
KS,Lane,0.132,0.841,111,709
KS,Leavenworth,0.376,0.603,13732,22055
KS,Lincoln,0.166,0.818,250,1233
KS,Linn,0.17,0.816,854,4093
KS,Logan,0.131,0.847,183,1186
KS,Lyon,0.416,0.563,5515,7462
KS,Marion,0.243,0.735,1429,4312
KS,Marshall,0.243,0.733,1205,3644
KS,McPherson,0.285,0.696,4021,9816
KS,Meade,0.146,0.842,247,1427
KS,Miami,0.293,0.688,5472,12854
KS,Mitchell,0.166,0.822,528,2608
KS,Montgomery,0.236,0.746,2934,9287
KS,Morris,0.258,0.724,721,2021
KS,Morton,0.124,0.857,131,909
KS,Nemaha,0.158,0.828,888,4655
KS,Neosho,0.25,0.731,1696,4961
KS,Ness,0.095,0.884,129,1205
KS,Norton,0.152,0.829,346,1882
KS,Osage,0.247,0.727,1946,5736
KS,Osborne,0.147,0.832,261,1477
KS,Ottawa,0.159,0.824,476,2475
KS,Pawnee,0.233,0.749,625,2003
KS,Phillips,0.12,0.858,331,2356
KS,Pottawatomie,0.252,0.728,3394,9811
KS,Pratt,0.234,0.748,954,3054
KS,Rawlins,0.125,0.851,176,1194
KS,Reno,0.318,0.662,8554,17847
KS,Republic,0.162,0.819,396,2001
KS,Rice,0.208,0.775,825,3073
KS,Riley,0.496,0.478,12063,11630
KS,Rooks,0.138,0.849,349,2153
KS,Rush,0.164,0.819,264,1315
KS,Russell,0.184,0.797,608,2632
KS,Saline,0.333,0.649,7734,15069
KS,Scott,0.116,0.863,248,1843
KS,Sedgwick,0.422,0.561,90506,120118
KS,Seward,0.297,0.686,1354,3133
KS,Shawnee,0.492,0.488,40308,39901
KS,Sheridan,0.092,0.895,126,1229
KS,Sherman,0.146,0.833,379,2161
KS,Smith,0.15,0.835,300,1675
KS,Stafford,0.171,0.811,326,1548
KS,Stanton,0.173,0.809,115,537
KS,Stevens,0.114,0.869,210,1595
KS,Sumner,0.24,0.74,2527,7810
KS,Thomas,0.163,0.821,597,3007
KS,Trego,0.136,0.846,216,1343
KS,Wabaunsee,0.246,0.734,944,2816
KS,Wallace,0.07,0.917,52,686
KS,Washington,0.147,0.838,396,2263
KS,Wichita,0.124,0.86,107,740
KS,Wilson,0.18,0.803,647,2894
KS,Woodson,0.187,0.8,282,1205
KS,Wyandotte,0.611,0.373,30938,18867
KY,Adair,0.14,0.852,1257,7643
KY,Allen,0.16,0.831,1505,7824
KY,Anderson,0.246,0.737,3226,9650
KY,Ballard,0.17,0.815,697,3331
KY,Barren,0.231,0.758,4565,15019
KY,Bath,0.237,0.75,1278,4041
KY,Bell,0.152,0.838,1419,7831
KY,Boone,0.305,0.677,20601,45650
KY,Bourbon,0.324,0.659,3088,6284
KY,Boyd,0.3,0.685,6291,14363
KY,Boyle,0.347,0.637,4990,9159
KY,Bracken,0.169,0.818,702,3399
KY,Breathitt,0.196,0.789,1002,4036
KY,Breckinridge,0.203,0.784,2038,7882
KY,Bullitt,0.238,0.747,10280,32299
KY,Butler,0.162,0.825,965,4905
KY,Caldwell,0.203,0.785,1256,4860
KY,Calloway,0.302,0.681,5111,11539
KY,Campbell,0.392,0.589,18952,28450
KY,Carlisle,0.156,0.836,408,2182
KY,Carroll,0.239,0.749,963,3014
KY,Carter,0.202,0.786,2305,8981
KY,Casey,0.113,0.878,804,6216
KY,Christian,0.326,0.661,7055,14332
KY,Clark,0.315,0.668,5639,11950
KY,Clay,0.092,0.895,692,6729
KY,Clinton,0.112,0.876,549,4276
KY,Crittenden,0.152,0.835,608,3349
KY,Cumberland,0.14,0.849,483,2922
KY,Daviess,0.333,0.652,15673,30705
KY,Edmonson,0.179,0.808,1118,5048
KY,Elliott,0.183,0.802,532,2335
KY,Estill,0.177,0.809,1114,5091
KY,Fayette,0.579,0.398,83387,57347
KY,Fleming,0.191,0.797,1334,5578
KY,Floyd,0.196,0.787,3061,12326
KY,Franklin,0.466,0.514,11996,13246
KY,Fulton,0.297,0.695,636,1491
KY,Gallatin,0.194,0.794,761,3109
KY,Garrard,0.193,0.795,1719,7086
KY,Grant,0.17,0.817,1944,9372
KY,Graves,0.186,0.802,3105,13378
KY,Grayson,0.185,0.803,2235,9710
KY,Green,0.134,0.859,782,5033
KY,Greenup,0.241,0.746,4181,12961
KY,Hancock,0.253,0.728,1173,3375
KY,Hardin,0.345,0.638,16572,30672
KY,Harlan,0.115,0.877,1199,9109
KY,Harrison,0.251,0.736,2265,6639
KY,Hart,0.195,0.796,1642,6691
KY,Henderson,0.347,0.64,6837,12592
KY,Henry,0.23,0.755,1857,6093
KY,Hickman,0.19,0.8,394,1656
KY,Hopkins,0.239,0.748,4916,15361
KY,Jackson,0.085,0.903,506,5358
KY,Jefferson,0.573,0.408,203070,144553
KY,Jessamine,0.311,0.669,8303,17854
KY,Johnson,0.14,0.847,1350,8150
KY,Kenton,0.381,0.598,30859,48444
KY,Knott,0.197,0.788,1181,4732
KY,Knox,0.138,0.85,1821,11178
KY,LaRue,0.191,0.795,1389,5773
KY,Laurel,0.145,0.843,4037,23516
KY,Lawrence,0.159,0.831,1044,5464
KY,Lee,0.151,0.828,406,2227
KY,Leslie,0.088,0.897,382,3908
KY,Letcher,0.173,0.812,1457,6848
KY,Lewis,0.116,0.873,666,4997
KY,Lincoln,0.188,0.8,2080,8833
KY,Livingston,0.178,0.809,886,4021
KY,Logan,0.219,0.769,2734,9620
KY,Lyon,0.227,0.761,950,3187
KY,Madison,0.336,0.645,15180,29130
KY,Magoffin,0.172,0.813,909,4288
KY,Marion,0.276,0.711,2513,6473
KY,Marshall,0.21,0.777,3700,13677
KY,Martin,0.078,0.915,287,3343
KY,Mason,0.275,0.711,2170,5621
KY,McCracken,0.319,0.668,10191,21349
KY,McCreary,0.103,0.89,641,5531
KY,McLean,0.213,0.772,989,3578
KY,Meade,0.232,0.753,3279,10630
KY,Menifee,0.202,0.778,664,2563
KY,Mercer,0.239,0.745,2838,8826
KY,Metcalfe,0.172,0.819,884,4197
KY,Monroe,0.109,0.881,576,4679
KY,Montgomery,0.26,0.726,3329,9302
